publishedAt,title,trade_day,sentiment_score
2024-12-03 18:18:21+00:00,"Intel should leave the foundry business: Analyst on CEO departure Intel (INTC) CEO Pat Gelsinger suddenly retired from his chief executive role at the chipmaker over the weekend. Gelsinger began working at Intel as its chief architect in the 1980s, going on to act  Intel (INTC) CEO Pat Gelsinger suddenly retired from his chief executive role at the chipmaker over the weekend. Gelsinger began working at Intel as its...",2024-12-04,-0.0516
2024-12-04 19:42:27+00:00,"Intel’s CEO shakeup puts foundry plans, CHIPS Act cash at risk Intel (INTC) is in crisis. The company forced out CEO Pat Gelsinger on Monday, its stock price is down more than 50% on the year, and the grand plan to add third-party semiconductor manufacturing to  Intel's CHIPS Act funding could disappear if the company ditches its plans to expand its manufacturing footprint.",2024-12-05,-0.7506
2024-12-05 13:00:18+00:00,"Investors Lose $383.2 Billion On These 10 Giant Losers This Year Everyone wants to talk about their big S&amp;P 500 winners this year. Don't expect to hear much about their losers.
XNOW PLAYINGBeating The Market: How To Find Outperforming StocksBut there are plen Everyone wants to talk about their big S&P 500 winners this year. Don't expect to hear much about their losers.",2024-12-05,-0.7717
2024-12-06 18:21:13+00:00,Intel Corp (INTC) CEO Exit Signals Uncertain Future Amid Ongoing Structural Challenges  ,2024-12-09,-0.2263
2024-12-09 11:10:44+00:00,"Intel should have focused on AI rather than chipmaking, TSMC founder says According to Morris Chang, the founder of Taiwan Semiconductor Manufacturing Co, Intel should have focused on artificial intelligence instead of trying to become a contract chipmaker. Chang made this Intel should have focused on artificial intelligence rather than trying to become a contract chipmaker, the founder of Taiwan Semiconductor Manufacturing Co ...",2024-12-09,0.9186
2024-12-10 00:01:07+00:00,Intel Corporation (INTC): A Bull Case Theory  ,2024-12-10,0.0
2024-12-10 15:59:22+00:00,"Nvidia Rebounds From Key Level After China Probe Scare, Buy Point Still In Play; Is Nvidia A Buy Now? Nvidia (NVDA) rattled investors Monday after news of an antimonopoly probe by Chinese regulators. But the stock found support at the 50 day moving average and is rebounding on Tuesday. That means tha Nvidia stock rebounded from the 50-day moving average after falling over 2% amid news of a China probe on Monday.",2024-12-10,0.3071
2024-12-10 17:01:03+00:00,"Google stock pops as company unveils new quantum chip Google's stock rose 4% after the company announced a breakthrough in quantum computing with its new chip, Willow, which can solve complex mathematical equations much faster than classical supercomput Google said that a math equation that would take a classical supercomputer longer than the whole history of the universe to solve takes only five minutes using a quantum computer powered by its new chip Willow.",2024-12-11,0.3818
2024-12-12 10:22:35+00:00,"NVIDIA Crushes Rivals: Secures Unprecedented 90% of GPU Market in Q3 2024 In a historic turn, Nvidia (NVDA, Financial) has once again taken the top spot, with a whopping 90% of the global GPU market share in Q3 2024. This dominance, says Jon Peddie Research (JPR) mascot, i AMD and Intel Struggle as NVIDIA Hits Historic GPU Market Share Domination",2024-12-12,0.4767
2024-12-13 16:54:56+00:00,"Why AMD Is a Much Stronger Investment than Intel (INTC) I used to be bullish on semiconductor designer and manufacturer Intel (INTC), but following the boards decision to remove the CEO, Im left uncertain about the companys future. Instead, semiconductor  I used to be bullish on semiconductor designer and manufacturer Intel (INTC), but following the board’s decision to remove the CEO, I’m left uncertain about ...",2024-12-16,-0.5859
2024-12-14 22:38:01+00:00,Get Paid to Wait with Intel Stock (INTC) Put Options  ,2024-12-16,0.0
2024-12-15 20:10:24+00:00,Intel (INTC) Faces Critical Juncture: 18A Chip Technology Could Determine Future of Manufacturing Operations  ,2024-12-16,-0.3182
2024-12-19 21:57:23+00:00,"Can Intel's foundry business help it catch up to TSMC in 2025? Intel (INTC) stock has had a difficult 2024, with shares falling roughly 60% year-to-date. As investors turn to 2025, Yahoo Finance Senior Reporter Yasmin Khorram and Reporter Laura Bratton sit down  Intel (INTC) stock has had a difficult 2024, with shares falling roughly 60% year-to-date. As investors turn to 2025, Yahoo Finance Senior Reporter Yasmin...",2024-12-20,-0.0258
2024-12-20 13:00:18+00:00,"How innovation died at Intel: America's only leading-edge chip manufacturer faces an uncertain future and lawsuits Intel's (INTC) fall from grace seemed to happen all at once. Shares of the once iconic chipmaker plummeted 60% in 2024. The company posted the biggest loss in its 56-year history in its latest quarte Amid struggles to turn itself around, exclusive interviews with Intel executives and industry analysts reveal missed opportunities, poor decision making, and...",2024-12-20,-0.7003
